"Time,Date";"Acc,X";"Acc,Y";"Acc,Z";"Acc.Abs"
210800;-4,34;8,72;2,86;10,15695
210810;-4,05;8,72;2,71;9,99079
210820;-3,97;9,10;2,94;10,35707
210830;-3,53;9,03;2,94;10,12535
210840;-3,15;8,50;2,70;9,45583
210850;-2,85;8,19;2,47;9,0208
210860;-2,85;8,04;2,17;8,80359
210870;-3,00;7,89;2,10;8,69644
210880;-3,08;8,04;2,25;8,89752
210890;-3,08;7,96;2,47;8,88863
210900;-3,15;8,04;2,93;9,11735
210910;-3,15;8,19;3,23;9,35084
210920;-3,23;8,34;3,15;9,48496
210930;-3,38;8,34;2,78;9,41997
210940;-3,60;8,42;2,33;9,4492
210950;-3,60;8,34;1,96;9,29483
210960;-3,60;8,19;1,88;9,14269
210970;-3,75;8,34;1,81;9,32369
210980;-3,90;8,27;1,81;9,31725
210990;-4,04;8,12;1,96;9,27691
211000;-4,27;8,04;2,26;9,37851
211010;-4,19;7,96;2,26;9,27908
211020;-3,97;8,19;2,11;9,34417
211030;-3,67;8,27;1,81;9,22544
211040;-3,60;8,12;1,36;8,98059
211050;-4,34;8,57;1,66;9,75154
211060;-4,49;8,80;1,82;10,04544
211070;-4,05;8,42;1,59;9,4749
211080;-3,75;8,42;1,21;9,29506
211090;-3,97;8,65;1,14;9,58333
211100;-4,34;8,65;1,22;9,7528
211110;-4,72;8,80;1,44;10,08703
211120;-4,94;9,10;1,67;10,49089
211130;-4,87;9,03;1,75;10,40186
211140;-4,72;8,88;1,60;10,17643
211150;-4,87;8,72;1,45;10,09193
211160;-4,94;8,50;1,29;9,91077
211170;-4,94;8,57;1,00;9,94212
211180;-4,94;8,57;0,62;9,91162
211190;-4,79;8,57;0,39;9,82656
211200;-4,64;8,65;0,24;9,81677
211210;-4,27;8,65;0,32;9,64857
211220;-4,12;8,57;0,69;9,53466
211230;-4,05;8,72;1,21;9,69186
211240;-3,82;8,80;1,81;9,76325
211250;-3,68;8,80;2,19;9,78275
211260;-3,60;8,88;2,04;9,79116
211270;-3,60;8,72;1,88;9,6229
211280;-3,67;8,65;1,51;9,51572
211290;-3,75;8,65;1,14;9,49244
211300;-3,82;8,57;0,84;9,42171
211310;-3,97;8,80;0,69;9,67853
211320;-3,97;8,95;0,69;9,81739
211330;-3,97;9,03;0,77;9,89134
211340;-3,97;9,10;0,84;9,96687
211350;-4,05;9,03;0,77;9,92137
211360;-4,20;8,88;0,92;9,85957
211370;-4,42;8,80;1,14;9,91232
211380;-4,57;8,80;1,44;10,01809
211390;-4,64;8,95;1,74;10,2328
211400;-4,72;9,33;2,12;10,66824
211410;-4,57;9,25;2,50;10,61778
211420;-3,82;7,74;2,48;8,97727
211430;-3,15;7,13;2,02;8,05089
211440;-3,30;8,50;1,66;9,26286
211450;-3,38;8,65;1,51;9,4042
211460;-3,45;8,27;1,73;9,12405
211470;-3,52;8,12;2,18;9,11203
211480;-3,45;7,89;2,40;8,9375
211490;-3,60;7,96;2,40;9,06301
211500;-3,90;8,27;2,26;9,41473
211510;-4,12;8,34;2,11;9,54174
211520;-4,34;8,65;2,04;9,88952
211530;-4,72;9,10;2,12;10,46877
211540;-5,02;9,25;2,20;10,75325
211550;-5,31;9,25;2,43;10,94325
211560;-5,46;9,18;2,43;10,9526
211570;-5,39;9,03;2,35;10,77106
211580;-5,39;9,03;2,43;10,78767
211590;-5,24;8,95;2,50;10,6678
211600;-5,09;8,57;2,50;10,27447
211610;-4,94;8,34;2,19;9,94037
211620;-4,86;8,42;1,89;9,90648
211630;-4,94;8,80;1,67;10,22831
211640;-4,87;9,10;1,67;10,45562
211650;-4,72;9,18;1,82;10,47926
211660;-4,57;9,25;1,82;10,4799
211670;-4,64;9,33;1,75;10,56729
211680;-4,64;9,33;1,82;10,57995
211690;-4,57;9,10;2,05;10,38769
211700;-4,64;8,72;2,19;10,12167
211710;-4,72;8,34;2,34;9,86555
211720;-4,94;7,96;2,42;9,67583
211730;-5,08;7,66;2,34;9,4873
211740;-5,16;7,51;2,26;9,38676
211750;-5,08;7,51;2,26;9,34576
211760;-4,86;7,51;2,19;9,20778
211770;-4,64;7,51;2,18;9,09157
211780;-4,34;7,59;2,18;9,00716
211790;-3,97;7,74;2,11;8,94635
211800;-3,75;7,81;2,03;8,89859
211810;-3,67;7,96;1,88;8,96861
211820;-3,75;8,19;1,73;9,17326
211830;-3,97;8,27;1,88;9,36324
211840;-4,34;8,34;2,11;9,64032
211850;-4,49;8,12;2,41;9,5837
211860;-4,64;8,12;2,34;9,63618
211870;-4,71;8,04;2,11;9,5563
211880;-4,71;7,74;2,04;9,28512
211890;-4,86;7,36;1,96;9,03253
211900;-5,23;7,13;1,96;9,05813
211910;-5,38;7,13;1,96;9,1452
211920;-5,08;6,68;1,88;8,59674
211930;-4,71;5,92;1,65;7,73662
211940;-4,41;5,69;1,35;7,32107
211950;-3,96;5,69;1,19;7,03329
211960;-3,66;5,92;1,49;7,11616
211970;-3,52;6,37;1,79;7,49421
211980;-3,44;6,52;2,09;7,6671
211990;-3,44;6,68;2,47;7,90575
212000;-3,29;6,60;2,54;7,80089
212010;-3,44;6,83;2,39;8,01166
212020;-4,19;7,36;2,25;8,7614
212030;-5,91;8,34;2,05;10,42583
212040;-6,50;8,95;1,46;11,15979
212050;-7,10;9,25;1,32;11,73752
212060;-7,70;10,24;0,73;12,83159
212070;-7,78;11,61;0,59;13,98373
212080;-7,26;12,67;1,12;14,64404
212090;-6,82;13,20;1,87;14,97233
212100;-6,52;13,27;2,54;15,00476
212110;-6,22;11,83;3,28;13,76193
212120;-6,51;11,08;3,12;13,22127
212130;-6,36;11,30;3,05;13,32364
212140;-6,07;11,99;2,83;13,7276
212150;-5,47;12,36;2,67;13,78345
212160;-5,18;12,44;2,60;13,72222
212170;-5,18;12,06;2,30;13,32349
212180;-5,40;11,45;1,62;12,76436
212190;-5,77;10,77;1,09;12,26596
212200;-6,14;10,09;1,24;11,87197
212210;-6,50;9,33;1,54;11,47677
212220;-6,73;8,80;1,91;11,23832
212230;-6,65;8,34;2,21;10,89506
212240;-6,27;7,59;2,57;10,17426
212250;-5,83;6,83;2,56;9,33268
212260;-5,60;6,30;2,48;8,78392
212270;-5,23;5,61;2,18;7,97128
212280;-4,70;5,08;1,27;7,03888
212290;-4,18;4,85;0,96;6,47774
212300;-3,66;4,78;1,48;6,19813
212310;-3,14;5,01;1,48;6,09129
212320;-3,29;5,61;1,49;6,67368
212330;-4,19;7,66;1,51;8,86152
212340;-3,38;8,27;1,21;9,01124
212350;-2,70;7,66;0,60;8,14562
212360;-2,40;7,36;0,07;7,74009
212370;-2,03;6,75;-0,24;7,05372
212380;-1,51;5,84;-0,55;6,05592
212390;-0,98;4,93;-1,24;5,17638
212400;-0,53;4,55;-1,84;4,93849
212410;-0,61;4,93;-2,06;5,37882
212420;-0,69;5,84;-1,46;6,05809
212430;-0,61;6,22;-0,48;6,26871
212440;-0,47;6,60;-0,03;6,6155
212450;-0,77;6,98;0,05;7,0201
212460;-1,51;6,98;0,13;7,14071
212470;-2,18;6,98;0,36;7,31926
212480;-2,70;7,13;0,14;7,62578
212490;-3,52;7,81;0,60;8,59134
212500;-4,05;8,42;1,51;9,46264
212510;-4,49;8,50;2,12;9,83953
212520;-5,31;8,57;2,65;10,42475
212530;-7,03;9,79;4,09;12,72311
212540;-8,14;9,71;4,93;13,59554
212550;-8,21;8,72;4,92;12,95185
212560;-8,28;7,59;4,91;12,25879
212570;-8,96;8,04;5,52;13,24066
212580;-8,36;8,65;4,85;12,96832
212590;-7,33;10,01;3,72;12,95257
212600;-6,44;11,61;2,90;13,58608
212610;-5,93;13,43;2,31;14,85595
212620;-5,56;14,72;2,54;15,93451
212630;-4,81;13,81;2,68;14,86223
212640;-4,58;11,68;2,44;12,78092
212650;-4,65;11,53;2,66;12,71467
212660;-4,73;12,44;3,12;13,66925
212670;-4,96;13,27;3,28;14,54292
212680;-5,18;13,27;3,05;14,5721
212690;-5,33;12,74;2,98;14,1284
212700;-5,32;11,83;2,97;13,31049
212710;-5,32;10,24;2,73;11,85738
212720;-5,76;9,25;2,36;11,15169
212730;-5,91;8,57;1,90;10,58114
